Event ID,Timestamp,User ID,Device ID,Session ID,Source IP,Destination IP,Source Port,Destination Port,Protocol,Country,City,Login Method,Access Type,Login Attempts,Login Success,Session Duration,Actions Count,Privilege Level,Operating System,Application,Device Type,Threat Type,Threat Severity,Anomaly Score,Malware Detected,Intrusion Flag,Response Action,Incident Status,Data Exfiltration (MB)
19,2024-03-27 12:14:07,user_189,device_999,session_9663,69.22.93.247,195.76.154.144,4530,3389,UDP,Nigeria,Berlin,Password,Remote,1,1,2171,190,Admin,Android,Safari,Mobile,None,Low,0.7633644230039109,0,0,Allowed,Resolved,0.0
20,2024-04-20 15:05:56,user_39,device_612,session_7422,222.101.23.250,10.246.69.100,3873,21,ICMP,USA,Lagos,OAuth,Remote,8,0,4641,16,User,Linux,Chrome,Server,Brute Force,Medium,0.8009492946823997,0,1,Blocked,Resolved,0.0
21,2024-05-12 09:20:59,user_33,device_929,session_5053,179.171.101.12,67.65.161.168,4937,22,TCP,Brazil,Delhi,Password,Local,3,1,783,35,User,Linux,Safari,Desktop,Malware,High,0.8448753109694546,1,0,Quarantined,Resolved,137.74031883559252
22,2024-07-10 09:10:30,user_196,device_826,session_7669,114.237.75.157,120.164.217.21,24572,80,UDP,Brazil,Abuja,Password,VPN,1,1,1152,36,User,iOS,Safari,Desktop,None,Low,0.6798447799002458,0,0,Allowed,Resolved,0.0
23,2024-10-02 02:01:58,user_217,device_867,session_4969,30.17.113.62,84.112.217.86,54668,22,ICMP,Nigeria,Delhi,Password,Remote,3,1,4201,9,User,Android,Edge,Mobile,None,Low,0.6318372121697993,0,0,Allowed,Resolved,0.0
24,2024-06-04 17:50:44,user_69,device_99,session_4492,25.180.123.213,228.53.151.144,28216,3389,TCP,USA,Lagos,Password,VPN,5,1,762,75,User,Android,Chrome,Mobile,Phishing,Medium,0.8369638742373738,0,0,Blocked,Resolved,0.0
25,2024-10-24 08:34:14,user_174,device_653,session_1192,170.137.178.27,122.194.5.29,61604,22,TCP,Nigeria,Sao Paulo,MFA,VPN,7,1,1185,36,User,macOS,Chrome,Mobile,None,Low,0.7050843642966599,0,0,Allowed,Resolved,0.0
26,2024-11-20 22:31:37,user_346,device_531,session_4269,141.242.220.126,58.148.220.200,14140,80,ICMP,Nigeria,New York,Password,Local,9,0,3470,153,Admin,iOS,Firefox,Mobile,Insider,Critical,0.012154474689816341,0,1,Investigating,Resolved,446.6601257120548
27,2024-07-30 22:40:53,user_213,device_203,session_5349,164.227.147.20,185.146.47.233,53552,80,TCP,China,Sao Paulo,Password,VPN,9,1,1383,16,Admin,Android,Safari,Desktop,Brute Force,Medium,0.2773811829811327,0,1,Blocked,Investigating,0.0
28,2024-09-28 05:07:19,user_186,device_316,session_540,220.101.41.228,192.155.246.191,41104,80,TCP,Brazil,Delhi,MFA,Remote,3,1,3354,134,Admin,iOS,Edge,Desktop,None,Low,0.4182430362906189,0,0,Allowed,Resolved,0.0
29,2024-05-31 04:01:59,user_286,device_242,session_7419,109.5.119.248,33.118.65.146,9439,80,ICMP,Brazil,Lagos,Password,Local,1,1,5610,161,User,macOS,Edge,Desktop,None,Low,0.013671964826997285,0,0,Allowed,Resolved,0.0
30,2024-09-07 20:46:46,user_6,device_476,session_2001,197.95.133.102,3.181.23.229,4660,3389,UDP,USA,New York,Password,Local,9,0,4176,173,User,Windows,Chrome,Mobile,Malware,High,0.3581627180328405,1,0,Quarantined,Resolved,243.34324142661694
31,2024-06-10 09:12:34,user_379,device_306,session_4364,193.54.236.133,222.222.251.57,23952,3389,TCP,China,Lagos,MFA,VPN,6,0,6911,38,User,Linux,Firefox,Server,None,Low,0.43747492202372906,0,0,Allowed,Resolved,0.0
32,2024-10-11 09:39:10,user_482,device_308,session_4262,225.216.79.252,30.247.106.51,44112,3389,TCP,Germany,Lagos,OAuth,Local,1,1,3609,84,User,Linux,Firefox,Desktop,None,Low,0.3474134082254142,0,0,Allowed,Resolved,0.0
33,2024-10-25 13:11:25,user_235,device_43,session_1907,111.249.151.183,80.95.203.118,23439,21,TCP,India,London,Password,Remote,2,1,4186,122,User,iOS,Chrome,Mobile,None,Low,0.2785903390319586,0,0,Allowed,Resolved,0.0
34,2024-09-12 06:52:44,user_22,device_405,session_6982,1.133.233.12,90.46.34.177,63565,443,TCP,India,Abuja,Password,VPN,9,0,5205,94,User,iOS,Chrome,Mobile,Phishing,Medium,0.8683011070355868,0,0,Blocked,Resolved,0.0
35,2024-04-03 13:18:43,user_207,device_303,session_639,56.214.14.218,28.215.78.216,49537,3389,UDP,China,New York,Password,VPN,3,1,1676,151,User,Android,Chrome,Mobile,None,Low,0.44741236682345464,0,0,Allowed,Resolved,0.0
36,2024-03-08 23:12:34,user_371,device_15,session_8153,119.229.28.202,39.185.17.231,7253,443,UDP,Germany,Abuja,MFA,Remote,4,1,96,109,User,Android,Edge,Mobile,None,Low,0.5868411180208791,0,0,Allowed,Resolved,0.0
37,2024-06-10 15:45:11,user_424,device_369,session_6892,83.42.169.101,6.180.26.64,35553,22,ICMP,Brazil,Sao Paulo,MFA,Remote,5,0,1763,70,User,Android,Firefox,Server,None,Low,0.08788762454014387,0,0,Allowed,Resolved,0.0
38,2024-02-28 12:41:01,user_95,device_664,session_9353,247.131.243.31,40.229.36.152,39134,443,ICMP,Germany,Beijing,MFA,Remote,8,1,6747,185,Admin,macOS,Safari,Mobile,Brute Force,Medium,0.2799790936602842,0,1,Blocked,Resolved,0.0
39,2024-12-16 18:48:57,user_118,device_836,session_8916,225.20.113.140,47.1.90.142,46399,3389,UDP,India,Beijing,Password,VPN,3,1,3774,134,User,Linux,Chrome,Server,None,Low,0.5489219798889773,0,0,Allowed,Resolved,0.0
40,2024-11-15 00:55:29,user_13,device_168,session_1620,65.63.101.73,17.9.203.143,15255,22,UDP,UK,Abuja,MFA,Local,5,1,5286,162,User,macOS,Chrome,Mobile,None,Low,0.04809464396408769,0,0,Allowed,Resolved,0.0
41,2024-01-14 03:32:44,user_328,device_779,session_9065,229.14.60.30,35.213.165.5,20306,22,UDP,USA,Sao Paulo,Password,Remote,9,0,1893,39,Admin,macOS,Chrome,Mobile,Phishing,Medium,0.539781061914633,0,0,Blocked,Resolved,0.0
42,2024-02-26 12:34:40,user_495,device_503,session_4034,206.53.104.104,179.39.179.198,55941,22,ICMP,India,London,MFA,VPN,1,1,2065,155,Admin,Windows,Chrome,Desktop,None,Low,0.24848913981446574,0,0,Allowed,Resolved,0.0
43,2024-03-28 10:19:34,user_289,device_254,session_2244,86.66.10.5,123.74.97.118,61221,3389,ICMP,UK,Delhi,Password,VPN,8,0,6220,68,Admin,Linux,Edge,Server,Brute Force,Medium,0.598442701205227,0,1,Blocked,Resolved,0.0
44,2024-03-30 10:21:30,user_283,device_69,session_5780,11.254.74.104,38.134.200.23,1838,443,UDP,India,Delhi,OAuth,Local,2,1,1014,111,Admin,macOS,Safari,Desktop,Malware,High,0.9224993811772957,1,0,Quarantined,Investigating,193.47333116300678
45,2024-11-15 05:11:36,user_51,device_29,session_3369,214.11.151.1,46.101.149.90,2669,21,UDP,UK,Abuja,Password,Local,7,0,6060,149,User,iOS,Chrome,Mobile,Insider,Critical,0.8028534485980114,0,1,Investigating,Investigating,65.99097702728699
46,2024-01-22 23:25:39,user_25,device_602,session_7974,130.135.210.219,162.91.17.128,47018,22,ICMP,India,Sao Paulo,Password,VPN,4,1,4835,88,User,iOS,Edge,Server,None,Low,0.6322642879195304,0,0,Allowed,Resolved,0.0
47,2024-09-19 13:37:31,user_370,device_469,session_967,81.84.105.177,148.118.86.220,22590,3389,TCP,UK,Abuja,Password,Local,7,0,981,62,User,iOS,Chrome,Desktop,None,Low,0.3777259474401693,0,0,Allowed,Resolved,0.0
48,2024-02-01 04:24:47,user_424,device_19,session_2066,1.78.115.175,242.194.246.220,39024,443,UDP,China,New York,Password,Remote,8,1,4925,10,User,Linux,Safari,Desktop,Brute Force,Medium,0.02538635566034486,0,1,Blocked,Investigating,0.0
49,2024-05-12 22:08:28,user_8,device_833,session_5955,216.215.187.253,72.54.249.239,4324,22,ICMP,Nigeria,Delhi,Password,Local,3,1,2173,88,Admin,macOS,Safari,Desktop,None,Low,0.14108184877771357,0,0,Allowed,Resolved,0.0
50,2024-01-08 01:46:53,user_223,device_823,session_944,210.7.74.7,161.151.85.147,21103,3389,ICMP,Germany,Berlin,Password,Local,1,1,6988,197,User,Linux,Edge,Mobile,None,Low,0.3630592121950905,0,0,Allowed,Resolved,0.0
51,2024-05-28 01:01:42,user_396,device_532,session_805,166.222.137.226,53.172.99.244,61945,21,TCP,USA,Sao Paulo,Password,Local,7,1,2798,114,User,Windows,Safari,Mobile,None,Low,0.6334782198261473,0,0,Allowed,Resolved,0.0
52,2024-01-04 17:41:58,user_201,device_758,session_1302,235.238.4.154,186.29.109.98,62166,3389,ICMP,China,Lagos,Password,Local,4,1,70,166,User,iOS,Chrome,Mobile,Insider,Critical,0.8297418037072016,0,1,Investigating,Resolved,77.07395873371556
53,2024-03-19 14:22:48,user_287,device_646,session_4264,98.12.237.249,53.199.138.173,12688,443,TCP,Germany,Sao Paulo,Password,Local,6,1,2896,181,User,Linux,Chrome,Desktop,DDoS,High,0.8370789907030294,0,1,Blocked,Resolved,0.0
54,2024-01-15 17:01:36,user_187,device_807,session_9443,54.98.55.111,152.246.150.69,24887,80,UDP,Germany,Beijing,Password,VPN,4,1,3950,190,Root,macOS,Firefox,Desktop,None,Low,0.7709122037458219,0,0,Allowed,Resolved,0.0
55,2024-09-07 07:53:24,user_73,device_713,session_2344,17.129.217.61,171.104.42.25,14374,22,ICMP,USA,Berlin,Password,VPN,6,0,2352,101,User,macOS,Chrome,Desktop,None,Low,0.7900135587918561,0,0,Allowed,Resolved,0.0
56,2024-06-01 03:00:08,user_311,device_497,session_7983,12.62.80.216,83.8.223.149,12368,3389,UDP,Canada,Sao Paulo,OAuth,Local,9,0,3672,154,User,Linux,Edge,Mobile,Phishing,Medium,0.588263756969931,0,0,Blocked,Resolved,0.0
57,2024-09-27 16:24:52,user_86,device_250,session_391,14.79.117.7,137.115.176.72,18929,22,ICMP,Brazil,Lagos,MFA,VPN,3,1,4527,187,Admin,Windows,Firefox,Server,None,Low,0.36469724945730586,0,0,Allowed,Resolved,0.0
58,2024-10-24 17:59:07,user_188,device_813,session_131,37.171.168.218,183.215.108.39,57870,80,TCP,China,Abuja,MFA,Remote,2,1,340,170,Root,macOS,Edge,Desktop,None,Low,0.528937134027212,0,0,Allowed,Resolved,0.0
59,2024-03-18 22:20:15,user_96,device_739,session_7207,46.244.29.190,241.221.62.245,63211,80,ICMP,Nigeria,Lagos,Password,VPN,7,0,2654,177,User,Linux,Safari,Mobile,None,Low,0.23360775104990994,0,0,Allowed,Resolved,0.0
60,2024-05-30 15:45:28,user_432,device_705,session_8174,207.73.143.49,121.88.196.140,44218,443,TCP,Brazil,Berlin,Password,Local,7,1,5451,88,User,iOS,Firefox,Desktop,None,Low,0.7433528228936241,0,0,Allowed,Resolved,0.0
61,2024-05-03 14:24:03,user_59,device_584,session_7828,93.63.54.117,243.237.110.74,41066,443,TCP,USA,Abuja,Password,VPN,8,0,1826,54,Root,Windows,Chrome,Server,Phishing,Medium,0.597274072430341,0,0,Blocked,Resolved,0.0
62,2024-10-06 05:21:45,user_419,device_690,session_9042,62.145.216.3,160.227.230.13,8311,3389,ICMP,Nigeria,Abuja,MFA,Remote,2,1,1320,105,User,macOS,Safari,Desktop,Phishing,Medium,0.8887480798689772,0,0,Blocked,Investigating,0.0
63,2024-07-26 09:49:29,user_9,device_463,session_9753,5.139.187.226,216.124.207.38,15687,22,TCP,Canada,Lagos,Password,Remote,5,1,5263,40,Admin,iOS,Edge,Mobile,None,Low,0.5713189419195741,0,0,Allowed,Resolved,0.0
64,2024-10-18 09:38:47,user_354,device_40,session_3931,205.237.33.6,216.147.80.168,3163,80,ICMP,India,London,MFA,VPN,9,1,4481,191,User,Android,Edge,Desktop,Malware,High,0.8808707591989284,1,0,Quarantined,Resolved,440.7450253117845
65,2024-09-12 18:25:45,user_394,device_672,session_6507,181.158.39.159,82.100.2.206,58956,3389,ICMP,USA,London,Password,VPN,1,1,5382,17,User,Linux,Safari,Desktop,None,Low,0.7798453951511436,0,0,Allowed,Resolved,0.0
66,2024-09-26 08:05:25,user_467,device_414,session_5353,224.226.63.156,60.79.222.37,6108,21,UDP,Germany,New York,Password,Local,1,1,915,193,User,macOS,Firefox,Mobile,Insider,Critical,0.990148372750647,0,1,Investigating,Resolved,327.3110852669347
67,2024-02-02 02:32:19,user_381,device_460,session_5127,29.139.33.134,111.79.160.179,28106,443,ICMP,USA,Lagos,Password,Remote,4,1,6126,99,User,iOS,Chrome,Server,None,Low,0.2207696127887604,0,0,Allowed,Resolved,0.0
68,2024-07-30 13:39:13,user_175,device_974,session_3156,22.203.27.195,81.126.236.184,33371,3389,TCP,UK,London,MFA,Local,3,1,6102,197,Root,Windows,Firefox,Mobile,None,Low,0.22995460589108618,0,0,Allowed,Resolved,0.0
69,2024-04-17 17:34:52,user_163,device_832,session_3057,25.24.12.18,15.236.208.27,35399,21,UDP,Nigeria,Abuja,Password,VPN,2,1,6161,199,User,Android,Chrome,Mobile,None,Low,0.616650314520738,0,0,Allowed,Resolved,0.0
70,2024-02-27 15:41:02,user_153,device_734,session_1876,228.9.166.176,249.188.63.214,6133,3389,TCP,USA,London,Password,Remote,1,1,4197,21,User,Linux,Firefox,Server,None,Low,0.6000205481193037,0,0,Allowed,Resolved,0.0
71,2024-05-09 06:01:03,user_11,device_301,session_8921,33.252.102.169,136.11.214.179,47191,80,TCP,Germany,Abuja,Password,VPN,6,0,2750,168,User,Android,Chrome,Mobile,None,Low,0.5342422059764451,0,0,Allowed,Resolved,0.0
72,2024-12-07 20:30:04,user_414,device_929,session_6733,116.154.150.103,194.166.103.90,51885,443,UDP,UK,Lagos,Password,Remote,8,0,6112,123,User,Windows,Edge,Server,Malware,High,0.5412963353010705,1,0,Quarantined,Open,474.20172668920895
73,2024-01-16 03:28:27,user_318,device_84,session_8443,127.7.203.84,208.132.134.58,17429,443,ICMP,India,Beijing,Password,Local,2,1,7187,12,User,iOS,Chrome,Desktop,None,Low,0.6157420219422428,0,0,Allowed,Resolved,0.0
74,2024-02-14 08:42:58,user_55,device_750,session_3428,173.136.221.119,53.183.32.51,25387,443,UDP,USA,New York,Password,Remote,3,1,3001,35,User,Windows,Edge,Desktop,Malware,High,0.8682725054083805,1,0,Quarantined,Investigating,218.49173387955693
75,2024-04-18 14:47:31,user_220,device_364,session_3454,20.188.152.50,177.179.96.105,7587,443,TCP,USA,London,MFA,VPN,2,1,3009,6,User,macOS,Edge,Mobile,Brute Force,Medium,0.912363345616691,0,1,Blocked,Resolved,0.0
76,2024-08-30 08:28:01,user_40,device_21,session_2959,225.99.26.8,100.240.222.87,12585,21,UDP,China,Lagos,Password,Remote,6,0,2395,60,User,Windows,Safari,Mobile,None,Low,0.09526150795462629,0,0,Allowed,Resolved,0.0
77,2024-07-02 05:16:00,user_379,device_857,session_8220,66.163.229.5,193.168.204.184,33443,3389,ICMP,UK,Beijing,Password,VPN,6,0,2023,93,User,Windows,Chrome,Desktop,None,Low,0.2487142725876299,0,0,Allowed,Resolved,0.0
78,2024-06-11 14:16:43,user_1,device_313,session_576,118.212.28.121,107.165.175.229,16587,3389,TCP,Nigeria,London,MFA,VPN,6,0,986,148,User,Linux,Chrome,Server,None,Low,0.2311309124276466,0,0,Allowed,Resolved,0.0
79,2024-08-27 16:40:57,user_285,device_1,session_6263,35.198.229.245,59.69.161.241,65202,21,UDP,Germany,Berlin,Password,VPN,2,1,4342,50,Root,macOS,Firefox,Server,None,Low,0.6668642575461043,0,0,Allowed,Resolved,0.0
80,2024-12-05 22:57:23,user_151,device_384,session_5758,45.52.80.178,234.124.119.8,11249,3389,TCP,UK,London,Password,Local,5,1,1228,34,User,Linux,Edge,Mobile,None,Low,0.017515990862062236,0,0,Allowed,Resolved,0.0
81,2024-04-07 10:07:13,user_145,device_538,session_3720,47.232.113.76,219.72.89.46,31683,80,TCP,India,Beijing,MFA,Remote,5,0,3321,194,Root,Windows,Chrome,Desktop,Insider,Critical,0.9933369373586285,0,1,Investigating,Investigating,287.83796788346723
82,2024-07-21 12:43:20,user_459,device_324,session_3174,238.132.102.19,198.226.82.141,34792,22,TCP,India,Abuja,Password,Local,7,0,3756,65,User,iOS,Edge,Desktop,None,Low,0.44869362262253065,0,0,Allowed,Resolved,0.0
83,2024-06-06 12:55:12,user_224,device_497,session_6060,102.218.11.99,200.110.206.74,26561,80,ICMP,Brazil,Lagos,OAuth,Local,6,1,1207,153,User,Linux,Safari,Desktop,None,Low,0.24606965879799825,0,0,Allowed,Resolved,0.0
84,2024-01-07 14:38:27,user_271,device_43,session_9136,87.70.46.242,108.123.171.237,25620,22,ICMP,Canada,Beijing,Password,VPN,9,0,4176,15,User,iOS,Firefox,Server,Insider,Critical,0.10142082844921652,0,1,Investigating,Investigating,266.3115150450745
85,2024-10-26 22:17:17,user_27,device_669,session_6895,156.35.136.144,106.164.158.146,13313,80,TCP,Germany,Lagos,Password,VPN,7,0,5188,141,User,Windows,Firefox,Desktop,None,Low,0.25656278370136376,0,0,Allowed,Resolved,0.0
86,2024-04-08 21:24:51,user_84,device_452,session_1799,54.129.172.120,173.106.47.123,23692,3389,UDP,Germany,Abuja,MFA,VPN,8,0,1690,170,Admin,Windows,Firefox,Server,Malware,High,0.7805255152438618,1,0,Quarantined,Investigating,427.0753878178577
87,2024-06-22 08:37:29,user_345,device_146,session_5011,164.202.225.183,242.69.175.49,50658,21,UDP,Nigeria,Beijing,Password,Local,5,0,1017,199,User,Linux,Chrome,Mobile,None,Low,0.6320154860204185,0,0,Allowed,Resolved,0.0
88,2024-07-06 06:20:40,user_254,device_921,session_770,64.35.7.85,146.67.42.118,24188,80,TCP,India,Beijing,Password,Local,3,1,5729,102,User,iOS,Firefox,Desktop,DDoS,High,0.8941908746641183,0,1,Blocked,Resolved,0.0
89,2024-01-05 16:02:02,user_70,device_425,session_708,13.49.60.130,188.5.172.27,5279,3389,UDP,Canada,Lagos,MFA,Remote,3,1,371,70,User,Android,Firefox,Mobile,None,Low,0.5577834173700249,0,0,Allowed,Resolved,0.0
90,2024-07-22 05:10:57,user_471,device_798,session_4212,8.150.44.186,36.197.77.221,11550,80,ICMP,Canada,Lagos,Password,Remote,7,1,4782,144,User,Android,Edge,Mobile,None,Low,0.23464208185545354,0,0,Allowed,Resolved,0.0
91,2024-02-13 15:59:23,user_115,device_104,session_9733,212.104.248.108,65.121.30.149,14419,443,ICMP,Canada,Abuja,MFA,Local,4,1,2815,142,User,Linux,Chrome,Mobile,None,Low,0.3809095255109872,0,0,Allowed,Resolved,0.0
92,2024-05-07 20:13:53,user_475,device_761,session_2497,75.67.180.190,151.154.196.210,38198,22,UDP,India,Beijing,OAuth,Remote,4,1,4615,12,Admin,Linux,Firefox,Mobile,None,Low,0.6279500527726358,0,0,Allowed,Resolved,0.0
93,2024-04-30 17:40:45,user_216,device_670,session_7630,134.67.80.7,180.14.73.143,47508,22,UDP,India,Lagos,Password,Local,4,1,6127,10,Admin,Windows,Chrome,Mobile,None,Low,0.31372769119409605,0,0,Allowed,Resolved,0.0
94,2024-08-27 00:42:06,user_270,device_833,session_9326,80.54.238.125,180.131.227.169,24453,80,TCP,Brazil,Lagos,Password,Local,4,1,566,79,Root,Android,Safari,Desktop,Brute Force,Medium,0.9364491738836606,0,1,Blocked,Resolved,0.0
95,2024-07-22 22:05:47,user_447,device_390,session_2720,93.43.254.130,60.151.211.31,40946,3389,ICMP,USA,Lagos,Password,Local,2,1,5402,159,User,Windows,Edge,Server,None,Low,0.1706647585499984,0,0,Allowed,Resolved,0.0
96,2024-08-02 14:45:40,user_329,device_156,session_9075,7.80.144.252,97.4.4.103,55847,80,TCP,UK,Delhi,Password,Local,7,1,1538,116,User,iOS,Edge,Server,None,Low,0.52550462196864,0,0,Allowed,Resolved,0.0
97,2024-09-09 03:32:37,user_14,device_455,session_9957,253.86.133.254,183.130.62.219,7572,3389,UDP,UK,Lagos,Password,Remote,1,1,3114,181,Admin,iOS,Safari,Desktop,None,Low,0.1097361986775035,0,0,Allowed,Resolved,0.0
98,2024-02-23 21:50:51,user_395,device_703,session_6037,52.183.117.26,254.196.34.52,38511,21,UDP,Canada,New York,Password,Remote,6,0,6727,141,User,Windows,Safari,Desktop,Malware,High,0.9428311414132617,1,0,Quarantined,Resolved,134.7886048025651
99,2024-09-02 06:34:49,user_242,device_826,session_8124,232.21.28.203,247.34.8.187,24277,80,ICMP,Nigeria,Delhi,Password,Remote,3,1,6754,160,Root,iOS,Safari,Desktop,None,Low,0.038021848237454914,0,0,Allowed,Resolved,0.0
100,2024-07-18 19:45:26,user_43,device_385,session_7789,179.152.227.152,17.133.148.21,29927,443,ICMP,China,Delhi,Password,VPN,3,1,5540,28,User,Linux,Chrome,Desktop,None,Low,0.6603027197013381,0,0,Allowed,Resolved,0.0
101,2024-11-22 02:35:11,user_8,device_320,session_9766,111.224.112.220,81.223.136.104,63384,80,UDP,UK,Lagos,Password,Local,4,1,1643,105,User,Linux,Edge,Mobile,Malware,High,0.895814597371882,1,0,Quarantined,Investigating,153.48279798347272
102,2024-06-18 09:41:59,user_258,device_374,session_781,181.160.95.144,32.32.124.226,58890,443,ICMP,Nigeria,London,Password,Remote,9,0,4971,124,User,Linux,Firefox,Mobile,Brute Force,Medium,0.928317532848577,0,1,Blocked,Resolved,0.0
103,2024-07-23 10:17:17,user_113,device_888,session_9760,222.119.39.241,12.233.175.18,35988,3389,UDP,Brazil,Sao Paulo,MFA,Local,7,0,1789,86,Admin,Windows,Firefox,Desktop,None,Low,0.7279471767307432,0,0,Allowed,Resolved,0.0
104,2024-11-13 05:05:05,user_29,device_213,session_4559,180.27.50.95,207.243.151.88,30763,3389,UDP,India,Berlin,Password,VPN,6,0,2490,30,Admin,Windows,Safari,Desktop,None,Low,0.160071634954573,0,0,Allowed,Resolved,0.0
105,2024-01-31 19:39:21,user_186,device_656,session_6273,108.5.3.193,132.104.227.224,43839,443,UDP,India,Abuja,Password,Local,7,0,3167,169,User,Windows,Safari,Mobile,Malware,High,0.8480477911307719,1,0,Quarantined,Resolved,375.4095535383037
106,2024-12-22 07:49:33,user_121,device_418,session_7605,121.20.75.144,243.223.247.70,13111,22,TCP,USA,Delhi,Password,Local,8,0,1858,54,User,iOS,Firefox,Mobile,Brute Force,Medium,0.16688511785487092,0,1,Blocked,Investigating,0.0
107,2024-12-16 14:43:31,user_273,device_119,session_2564,221.14.3.216,229.80.186.55,7667,21,UDP,Canada,Lagos,Password,VPN,3,1,3918,63,User,iOS,Safari,Mobile,Insider,Critical,0.9819691904461453,0,1,Investigating,Investigating,263.4618376563886
